Dataset,NN,GRAIL exact classification precision,GRAIL exact precision,GRAIL exact time,PQ classification precision,PQ precision,PQ time,OPQ (64) classification precision,OPQ (64) precision,OPQ (64) time,OPQ (128) classification precision,OPQ (128) precision,OPQ (128) time,TRAIN_size,TEST_size
SemgHandSubjectCh2,1,0.848888889,0.008888889,2.354770422,0.697777778,0.008888889,0.220053196,0.788888889,0.008888889,0.226744413,0.851111111,0.006666667,0.353129864,450,450
SemgHandSubjectCh2,3,0.862222222,0.027407407,2.368985891,0.673333333,0.037037037,0.232209921,0.802222222,0.031111111,0.240048885,0.846666667,0.034814815,0.370839119,450,450
SemgHandSubjectCh2,5,0.877777778,0.040888889,2.385678768,0.68,0.058222222,0.236585855,0.797777778,0.052444444,0.24715066,0.833333333,0.050666667,0.374561787,450,450
SemgHandSubjectCh2,10,0.833333333,0.072,2.407229662,0.657777778,0.088888889,0.244393587,0.764444444,0.09,0.254780531,0.824444444,0.082666667,0.387122869,450,450
ShakeGestureWiimoteZ,1,0.74,0.48,0.02930975,0.6,0.4,0.014433861,0.76,0.52,0.015057087,0.78,0.46,0.026073694,50,50
ShakeGestureWiimoteZ,3,0.68,0.54,0.030137777,0.64,0.546666667,0.01540041,0.7,0.58,0.015877008,0.72,0.573333333,0.027066708,50,50
ShakeGestureWiimoteZ,5,0.74,0.512,0.033853769,0.68,0.528,0.015668631,0.7,0.52,0.01617384,0.8,0.544,0.027300596,50,50
ShakeGestureWiimoteZ,10,0.6,0.518,0.031250477,0.66,0.548,0.016119719,0.7,0.502,0.016802073,0.6,0.524,0.028058767,50,50
ShapeletSim,1,0.566666667,0.116666667,0.044263363,0.5,0.038888889,0.049661636,0.527777778,0.094444444,0.05211544,0.566666667,0.1,0.091588736,20,180
ShapeletSim,3,0.544444444,0.237037037,0.046077967,0.494444444,0.124074074,0.05161643,0.544444444,0.22037037,0.054907322,0.544444444,0.214814815,0.094868898,20,180
ShapeletSim,5,0.511111111,0.324444444,0.047414541,0.616666667,0.265555556,0.052733898,0.522222222,0.367777778,0.056126118,0.527777778,0.324444444,0.096098661,20,180
ShapeletSim,10,0.5,0.558888889,0.048787594,0.55,0.553333333,0.054287434,0.5,0.553888889,0.057463408,0.5,0.557222222,0.097611189,20,180
ShapesAll,1,0.816666667,0.703333333,4.172720194,0.693333333,0.301666667,0.334879398,0.645,0.285,0.343928099,0.783333333,0.416666667,0.53199029,600,600
ShapesAll,3,0.763333333,0.737222222,4.210530043,0.658333333,0.442777778,0.360300779,0.655,0.425,0.368776798,0.74,0.56,0.556023121,600,600
ShapesAll,5,0.736666667,0.749,4.177791834,0.631666667,0.503,0.36618042,0.641666667,0.492333333,0.378314495,0.715,0.632,0.564775467,600,600
ShapesAll,10,0.705,0.751333333,4.222516537,0.596666667,0.578166667,0.381477356,0.628333333,0.624333333,0.395128489,0.675,0.717333333,0.573378086,600,600
SmallKitchenAppliances,1,0.605333333,0.16,1.630698204,0.474666667,0.04,0.167058468,0.501333333,0.042666667,0.175945282,0.533333333,0.085333333,0.277799606,375,375
SmallKitchenAppliances,3,0.6,0.227555556,1.624007463,0.458666667,0.103111111,0.17694521,0.530666667,0.124444444,0.182634115,0.541333333,0.16,0.287106514,375,375
SmallKitchenAppliances,5,0.642666667,0.229866667,1.630368948,0.488,0.1168,0.178404331,0.536,0.1472,0.186160564,0.552,0.1824,0.29203248,375,375
SmallKitchenAppliances,10,0.658666667,0.2456,1.651279449,0.528,0.163466667,0.183995485,0.578666667,0.1832,0.191461325,0.584,0.207733333,0.296564341,375,375
SmoothSubspace,1,0.753333333,0.42,0.264634848,0.693333333,0.306666667,0.050140381,0.726666667,0.32,0.053435087,0.746666667,0.426666667,0.088615179,150,150
SmoothSubspace,3,0.82,0.437777778,0.265257359,0.666666667,0.306666667,0.054184914,0.753333333,0.391111111,0.056671858,0.793333333,0.466666667,0.091585398,150,150
SmoothSubspace,5,0.8,0.470666667,0.267208338,0.68,0.330666667,0.054849386,0.793333333,0.429333333,0.057657242,0.82,0.510666667,0.092869759,150,150
SmoothSubspace,10,0.72,0.496,0.268442154,0.64,0.398,0.057110786,0.78,0.500666667,0.059514523,0.806666667,0.546,0.095773458,150,150
SonyAIBORobotSurface1,1,0.846921797,0.735440932,0.146172047,0.895174709,0.505823627,0.163179398,0.830282862,0.688851913,0.174115419,0.826955075,0.722129784,0.304490566,20,601
SonyAIBORobotSurface1,3,0.762063228,0.761508597,0.152683258,0.826955075,0.521907931,0.172433376,0.725457571,0.683860233,0.183230639,0.698835275,0.765945646,0.312910318,20,601
SonyAIBORobotSurface1,5,0.713810316,0.782695507,0.156325579,0.688851913,0.548419301,0.177196503,0.627287854,0.690183028,0.186693907,0.594009983,0.787687188,0.317595959,20,601
SonyAIBORobotSurface1,10,0.643926789,0.83344426,0.160654783,0.557404326,0.728785358,0.179428339,0.53078203,0.779201331,0.191707611,0.454242928,0.821630616,0.324695349,20,601
SonyAIBORobotSurface2,1,0.924449108,0.624344176,0.308257818,0.871983211,0.456453305,0.263825655,0.920251836,0.610703043,0.278203964,0.943336831,0.633788038,0.494127512,27,953
SonyAIBORobotSurface2,3,0.81636936,0.583420776,0.322957277,0.77019937,0.475690801,0.278832674,0.847848898,0.553340329,0.294056177,0.836306401,0.584120322,0.509882927,27,953
SonyAIBORobotSurface2,5,0.804826863,0.584470094,0.328686476,0.817418678,0.481427072,0.283933163,0.832109129,0.549213012,0.297821999,0.824763903,0.592654774,0.508713484,27,953
